order_id,warehouse,region,product,order_qty,order_date,delivery_date,delivery_time_days,status
ORD-1108,WH-A,East,Router,4,2026-02-24 06:22:56.186106,2026-03-07 06:22:56.186393,9.0,Delivered
ORD-1109,WH-B,West,Router,45,2026-01-23 06:22:56.186108,2026-03-16 06:22:56.186395,,Pending
ORD-1110,WH-C,East,Switch,11,2026-03-21 06:22:56.186110,2026-03-01 06:22:56.186396,1.0,Pending
ORD-1111,WH-B,North,Router,29,2026-02-27 06:22:56.186112,2026-02-27 06:22:56.186398,6.0,Delayed
ORD-1112,WH-A,East,Laptop,36,2026-02-07 06:22:56.186113,2026-03-08 06:22:56.186400,5.0,Delayed
ORD-1113,WH-C,South,Storage,25,2026-02-18 06:22:56.186115,2026-03-12 06:22:56.186402,6.0,Delayed
ORD-1114,WH-A,West,Server,21,2026-02-24 06:22:56.186117,2026-03-13 06:22:56.186404,10.0,Pending
ORD-1115,WH-B,North,Router,36,2026-03-17 06:22:56.186118,2026-03-10 06:22:56.186406,12.0,Pending
ORD-1116,WH-A,West,Laptop,10,2026-02-04 06:22:56.186120,2026-03-15 06:22:56.186407,13.0,Pending
ORD-1117,WH-C,South,Server,37,2026-02-21 06:22:56.186122,2026-03-21 06:22:56.186409,13.0,Pending
ORD-1118,WH-C,South,Storage,9,2026-03-19 06:22:56.186124,2026-03-07 06:22:56.186410,13.0,Pending
ORD-1119,WH-B,South,Server,24,2026-02-16 06:22:56.186125,2026-03-19 06:22:56.186412,5.0,Pending
ORD-1120,WH-A,East,Laptop,35,2026-02-22 06:22:56.186127,2026-02-24 06:22:56.186414,6.0,Pending
ORD-1121,WH-C,East,Server,49,2026-02-15 06:22:56.186129,2026-03-22 06:22:56.186416,5.0,Delayed
ORD-1122,WH-B,West,Switch,35,2026-02-21 06:22:56.186131,2026-03-11 06:22:56.186417,11.0,Delayed
ORD-1123,WH-C,West,Server,48,2026-02-04 06:22:56.186132,2026-03-24 06:22:56.186419,12.0,Delayed
ORD-1124,WH-C,North,Router,36,2026-02-09 06:22:56.186134,2026-02-24 06:22:56.186420,,Delayed
ORD-1125,WH-A,North,Router,18,2026-03-09 06:22:56.186136,2026-02-23 06:22:56.186422,4.0,Pending
ORD-1126,WH-C,West,Switch,49,2026-03-17 06:22:56.186137,2026-03-12 06:22:56.186424,,Delivered
ORD-1127,WH-A,East,Laptop,39,2026-01-26 06:22:56.186139,2026-03-11 06:22:56.186425,3.0,Pending
ORD-1128,WH-C,South,Router,32,2026-03-19 06:22:56.186141,2026-03-10 06:22:56.186427,4.0,Delivered
ORD-1129,WH-B,West,Storage,24,2026-03-02 06:22:56.186143,2026-03-21 06:22:56.186429,,Delayed
ORD-1130,WH-C,North,Router,23,2026-03-08 06:22:56.186145,2026-03-20 06:22:56.186431,2.0,Pending
ORD-1131,WH-A,East,Router,32,2026-02-23 06:22:56.186146,2026-03-03 06:22:56.186433,9.0,Delayed
ORD-1132,WH-A,West,Laptop,37,2026-03-22 06:22:56.186148,2026-03-13 06:22:56.186435,1.0,Pending
ORD-1133,WH-B,West,Server,12,2026-03-12 06:22:56.186150,2026-02-24 06:22:56.186437,14.0,Delayed
ORD-1134,WH-C,East,Router,49,2026-03-19 06:22:56.186151,2026-03-06 06:22:56.186438,1.0,Delivered
ORD-1135,WH-C,West,Switch,13,2026-03-04 06:22:56.186153,2026-03-17 06:22:56.186440,5.0,Delivered
ORD-1136,WH-B,East,Server,23,2026-02-17 06:22:56.186155,2026-03-18 06:22:56.186442,,Delivered
ORD-1137,WH-C,South,Storage,25,2026-03-14 06:22:56.186156,2026-03-10 06:22:56.186443,6.0,Pending
ORD-1138,WH-C,East,Laptop,35,2026-03-22 06:22:56.186158,2026-03-04 06:22:56.186445,3.0,Delivered
ORD-1139,WH-A,East,Storage,41,2026-03-01 06:22:56.186160,2026-02-24 06:22:56.186447,7.0,Pending
ORD-1140,WH-C,East,Server,30,2026-02-28 06:22:56.186161,2026-03-10 06:22:56.186448,9.0,Delivered
ORD-1141,WH-C,West,Server,17,2026-02-20 06:22:56.186163,2026-03-12 06:22:56.186450,11.0,Delivered
ORD-1142,WH-B,West,Server,49,2026-02-14 06:22:56.186165,2026-03-08 06:22:56.186452,12.0,Pending
ORD-1143,WH-B,East,Storage,20,2026-02-19 06:22:56.186167,2026-02-25 06:22:56.186453,10.0,Pending
ORD-1144,WH-A,West,Server,48,2026-03-16 06:22:56.186169,2026-02-24 06:22:56.186455,8.0,Delivered
ORD-1145,WH-C,North,Storage,25,2026-02-25 06:22:56.186170,2026-03-10 06:22:56.186457,6.0,Pending
ORD-1146,WH-C,North,Server,22,2026-01-31 06:22:56.186172,2026-02-23 06:22:56.186458,12.0,Delivered
ORD-1147,WH-C,,Switch,13,2026-02-20 06:22:56.186174,2026-03-08 06:22:56.186460,8.0,Pending
ORD-1148,WH-A,West,Server,19,2026-02-18 06:22:56.186176,2026-03-07 06:22:56.186462,12.0,Delayed
ORD-1149,WH-A,East,Storage,49,2026-02-15 06:22:56.186196,2026-02-26 06:22:56.186464,5.0,Delayed
ORD-1101,WH-C,South,Router,29,2026-02-02 06:22:56.186094,2026-03-06 06:22:56.186381,3.0,Delivered
ORD-1082,WH-B,North,Laptop,12,2026-01-29 06:22:56.186062,2026-03-05 06:22:56.186350,,Delivered
ORD-1031,WH-C,South,Server,37,2026-03-05 06:22:56.185974,2026-03-05 06:22:56.186259,14.0,Delivered
ORD-1064,WH-B,South,Laptop,45,2026-02-06 06:22:56.186031,2026-03-05 06:22:56.186321,13.0,Delivered
ORD-1067,WH-B,West,Storage,24,2026-03-17 06:22:56.186036,2026-02-26 06:22:56.186326,4.0,Delivered
